Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
Karlsruher Institut für Technologie; BW;Uni;staatlich;ja;1825;23.646;2019/20 (WS)
Pädagogische Hochschule Karlsruhe; BW;PH;staatlich;ja;1962;3.742;2016/17 (WS)
Staatliche Akademie der Bildenden Künste Karlsruhe; BW;FH;staatlich;ja;1854;288;2016/17 (WS)
Staatliche Hochschule für Gestaltung Karlsruhe; BW;FH;staatlich;ja;1992;397;2016/17 (WS)
CVJM-Hochschule (Kassel); HE;FH;privat;nein;2009;297;2012/13 (WS)
Kunsthochschule Kassel; HE;FH;staatlich;nein;1777;965;2016/17 (WS)
Universität Kassel; HE;Uni;staatlich;ja;1633/1970;25.058;2019/20 (WS)
Hochschule Kehl; BW;FH;staatlich;nein;1971;991;2012/13 (WS)
Hochschule für angewandte Wissenschaften Kempten; BY;FH;staatlich;nein;1977;5.888;2018/19 (WS)
Christian-Albrechts-Universität zu Kiel; SH;Uni;staatlich;ja;1665;27.101;2019/20 (WS)
Fachhochschule Kiel; SH;FH;staatlich;nein;1969;7.268;2014/15 (WS)
Muthesius Kunsthochschule (Kiel); SH;FH;staatlich;ja;2005;568;2012/13 (WS)
Hochschule Rhein-Waal (Kleve, Kamp-Lintfort); NW;FH;staatlich;nein;2009;5.000;2014/15 (WS)
Hochschule Koblenz; RP;FH;staatlich;nein;1996;9.713;2017/18 (WS)
Universität Koblenz-Landau; RP;Uni;staatlich;ja;1990;17.864;2019/20 (WS)
Hochschule Konstanz Technik, Wirtschaft und Gestaltung; BW;FH;staatlich;nein;1906;4.535;2012/13 (WS)
Universität Konstanz; BW;Uni;staatlich;ja;1966;11.002;2019/20 (WS)
Cologne Business School (Köln); NW;FH;privat;nein;1993;1.123;2012/13 (WS)
Deutsche Sporthochschule Köln; NW;Uni;staatlich;ja;1947;5.794;2019/20 (WS)
Technische Hochschule Köln; NW;FH;staatlich;nein;1971;23.600;2015 (SS)
Hochschule für Musik und Tanz Köln; NW;FH;staatlich;ja;1850;1.568;2012/13 (WS)
Katholische Hochschule Nordrhein-Westfalen (Köln, Münster, Paderborn, Aachen); NW;FH;konfessionell;nein;1971;4.030;2012/13 (WS)
Kunsthochschule für Medien Köln; NW;FH;staatlich;ja;1990;328;2012/13 (WS)
Universität zu Köln; NW;Uni;staatlich;ja;1388/1919;54.105;2019/20 (WS)
Rheinische Fachhochschule Köln; NW;FH;privat;nein;1971 (1958);4.742;2012/13 (WS)
Fachhochschule für Finanzen Brandenburg (Königs Wusterhausen); BB;FH;staatlich;nein;1991;580;2012/13 (WS)
Allensbach Hochschule (Konstanz); BW;FH;privat;nein;1996;269;2014/15 (WS)
Hochschule für angewandte Wissenschaften Landshut; BY;FH;staatlich;nein;1978;5.311;2016/17 (WS)
Handelshochschule Leipzig; SN;Uni;privat;ja;1898;657;2019/20 (WS)
Hochschule für Grafik und Buchkunst Leipzig; SN;FH;staatlich;ja;1764;568;2012/13 (WS)
